Text;Sentiment
Cek kendaraan sering mogok;0
Mobil mogok, tapi cepat diganti;0
Sayangnya antri lama;0
Servisnya kurang memuaskan, namun pelayan ramah;0
Pelayanan sedikit memuakkan, tapi pemandu kreatif dan baik hati;0
Ternyata harus booking lebih awal, kalau mendadak sering tidak kebagian;0
Oke saja, biasa;0
Ok, standar;0
Bisa lebih dikembangkan, training driver akan lebih baik untuk pelanggan;0
Minumannya agak mahal;0
Sewa VW tapi tak ada foto di perjalanan;0
Supirnya kurang berhati-hati di jalan;0
Sedikit kurang menarik;0
Harga jajan teh sangat mahal sekali!;0
Kasir tidak jujur, beli 7 dihitung 10;0
Jajanan agak mahal;0
Rasa enak tapi karena banyak pilihan jadi biasa saja;0
Tempatnya sulit dijangkau dan agak sempit;0
Kurang berkenan dengan pelayanannya;0
Saat kesana harus booking, nomor kontak tidak aktif;0
Oke, biasa saja;0
Layanan kurang memuaskan;0
Sebaiknya booking untuk tamu, bisa jadi rekomendasi buat driver;0
Fasilitas kurang lengkap untuk wisatawan yang ingin trip lama;0
Lumayan;0
Harus pesan jauh hari untuk naik ke atas candi;0
Supir tidak punya etika di jalan, membahayakan pengguna lain;0
Tidak direkomendasikan, toilet sering mati;0
Fasilitas toilet seharusnya termasuk paket;0
Tempat tidak terurus, parkir panas;0
Pelayanan agak judes;0
Penginapan tampak tidak terurus;0
Kurang cocok untuk acara besar, fasilitas terbatas;0
Agak kotor, tapi lumayan;0
Makian mantap;0
Lumayan;0
Jajanan cukup enak namun mahal;0
Driver sopan namun kurang ramah;0
Sewa VW lumayan tapi driver kurang informatif;0
Supir pemandu cekatan tapi kurang komunikasi;0
Jajanannya menarik namun overpriced;0
Supir tidak disiplin di jalan raya;0
Kasir kurang ramah, pelayanan lambat;0
Lokasi parkir kurang nyaman, terlalu panas;0
Oke, tapi biasa saja;0
Makanan di tempat agak mahal;0
Kafe nyaman tapi sempit;0
Beli teh yang mahal;0
Layanan toilet kurang bersih;0
Makanan cukup enak namun tidak terlalu spesial;0
Tidak recomended untuk acara ramai;0
Parkir luas namun kurang nyaman;0
Makanan disini terlalu biasa;0
Cek kendaraan sebaiknya dilakukan lebih sering;0
Supir tak punya aturan di jalan;0
Tidak recomended, tempat kurang terurus;0
Harga makan di tempat kurang sesuai;0
Layanan sering terlambat;0
Tidak ada toilet bersih;0
Layanan biasa;0
Servis memuaskan namun perlu diperbaiki lagi;0
Layanan kurang ramah;0
Tempat parkir luas tapi tidak teduh;0
Kurang fasilitas kamar mandi;0
Butuh booking awal untuk naik candi;0
Kurang puas karena fasilitasnya;0
Layanan tidak maksimal;0
Minuman mahal sekali;0
Kasir tak sopan;0
Layanan wisata kurang maksimal;0
Tidak ada fasilitas cukup;0
Tempat kurang nyaman, area parkir terbuka;0
Layanan cukup cepat;0
Harga minuman mahal, tidak terjangkau;0
Tempat kurang nyaman, terlalu penuh;0
Tidak ada toilet umum yang memadai;0
Pelayanan tak ramah;0
Oke, standar;0
Supirnya tidak mengikuti aturan lalu lintas;0
Harga jajan di tempat sangat mahal;0
Booking penginapan sulit didapat;0
Penginapan perlu lebih rapi;0
Lumayan, tempat agak ramai;0
Booking tempat sulit saat ramai;0
Tidak tersedia tempat duduk nyaman;0
Penginapan harus booking lebih awal;0
Parkir kurang nyaman, butuh area teduh;0
Tempat sempit tapi cukup nyaman;0
Supir kurang profesional di jalan;0
Pelayanan standar;0
Harus booking jauh-jauh hari;0
Tempat nyaman, tidak terlalu luas;0
Pelayanan sopan namun perlu ramah;0
Parkir luas tapi kurang teduh;0
Minuman di tempat agak mahal;0
Tempat sedikit kotor;0
Kurang puas, fasilitas minim;0
Jajan mahal sekali;0
Pelayanan terlalu lambat;0
Tempat makan biasa saja;0
Booking sulit didapat saat ramai;0
Oke biasa;0
Pelayanan kurang;0
Supir kurang hati-hati;0
Tempat sempit dan kurang nyaman;0
Makanan biasa saja;0
Tidak ada fasilitas cukup untuk tamu ramai;0
Tempat sedikit kotor tapi cukup nyaman;0
Tidak ada fasilitas yang memadai;0
Harga makanan mahal;0
Supir perlu lebih berhati-hati;0
Parkir luas, tapi panas;0
Tidak ada toilet umum;0
Tempat nyaman, harga mahal;0
Tempat terlalu ramai;0
Minuman terlalu mahal;0
Supir kurang etika;0
Booking sulit saat ramai;0
Layanan kurang memuaskan;0
Harga minuman tinggi;0
Supir kurang hati-hati;0
Tidak ada fasilitas kamar mandi;0
Tempat parkir panas;0
Harga makanan agak mahal;0
Fasilitas kamar mandi kurang;0
Harga terlalu mahal;0
Supir tidak disiplin;0
Supir tak hati-hati;0
Tidak ada toilet umum memadai;0
Parkir kurang nyaman;0
Tempat tidak terlalu bersih;0
Jajan mahal, rasa biasa;0
Pelayanan biasa;0
Layanan oke, harga mahal;0
Tempat tidak nyaman;0
Supir tidak etis;0
Booking sulit saat ramai;0
Harga makanan mahal;0
Fasilitas kurang lengkap;0
Oke, tempat tidak bersih;0
Tempat sempit;0
Tempat nyaman, harga sedikit mahal;0
Supir tak punya aturan;0
Tempat bersih;0
Booking sulit;0
Harga makanan mahal;0
Parkir luas tapi panas;0
Harga jajan mahal;0
Fasilitas kamar mandi minim;0
Pelayanan sopan;0
Tempat agak kotor;0
Harga minuman cukup tinggi;0
Tidak ada fasilitas toilet;0
Harga tinggi;0
Tempat sempit;0
Tempat makan biasa;0
Tempat tidak terlalu bersih;0
Jajan mahal, rasa biasa;0
Pelayanan standar;0
Fasilitas kamar mandi tidak ada;0
Tempat ramai;0
Supir perlu lebih hati-hati;0
Harga minuman tinggi;0
Tempat nyaman, harga cukup mahal;0
Supir tidak ramah dan kurang sopan;0
Supir tidak disiplin di jalan;0
Oke, pelayanan biasa saja;0
Layanan sering terlambat saat ramai;0
Parkir luas, tetapi kurang nyaman;0
Supir kurang etika di jalan;0
Tempat ramai dan penuh;0
Saat liburan, jalan utama sering macet;0
Supir kurang responsif terhadap penumpang;0
Supir pemandu baik, namun kurang menjelaskan;0
Parkir luas tapi sering terpapar sinar matahari;0
Supir tidak mengikuti aturan lalu lintas;0
Tempat sangat ramai pada akhir pekan;0
Jalur utama sering tersendat saat liburan;0
Supir tidak profesional di jalan;0
Pelayanan biasa saja, tidak istimewa;0
Parkir banyak, tetapi kurang teduh;0
Supir kurang mengutamakan keselamatan;0
Tempat sering penuh saat musim liburan;0
Supir tidak disiplin, membuat perjalanan kurang nyaman;0
Parkir luas, tetapi sering sulit ditemukan;0
Pelayanan standar, tidak ada yang menonjol;0
Oke, biasa saja, tidak terlalu mengesankan;0
Supir harus lebih memperhatikan aturan di jalan;0
Tempat sering ramai di akhir pekan;0
Jalan utama sering macet saat liburan;0
Supir kurang komunikatif, perlu lebih interaktif;0
Supir tidak sopan, membuat perjalanan tidak nyaman;0
Parkir luas, tapi terpapar panas;0
Pelayanan cukup baik, tetapi harus lebih cepat;0
Supir tidak etis dalam berkomunikasi;0
Tempat selalu penuh pada waktu-waktu tertentu;0
Supir sering membuat kesalahan di jalan;0
Layanan lambat, terutama saat ramai;0
Parkir cukup banyak, namun tidak ada tempat teduh;0
Supir kurang profesional, perlu pelatihan;0
Tempat sangat ramai di hari libur;0
Jalan utama sering macet pada akhir pekan;0
Supir tidak mengikuti prosedur yang benar;0
bernostalgia dengan VW Safari sambil menikmati suasana alam penuh dengan kearifan lokal ditemani driver merangkap tour guide hatur nuhun VW Tour Borobudur sukses nan berkah ??;2
Tour VW di sekitaran borobudur. Service nya oke. Ramah ramah;2
Merasakan kenyamanan dan keramahan yang sangat luar biasa. Jalur yang dilewati juga menyenangkan. Terima kasih atas pelayanan yang menyenangkan.!;2
Sangat menyukai aktivitas ini... Benar-benar aktivitas yang fotogenik.. para pengemudi sangat ramah dan tampaknya profesional dalam fotografi..;2
Pelayanannya memuaskan;2
Staf yang ramah dan siap membantu.;2
Pelayanan nya ramah dn sabar driver nya bisa jadi juru foto bagus hasil nya ??????;2
Keren pokoknya, terimakasih sudah dilayani dengan baik;2
Tempatnya nyaman,servisnya oke...;2
Ada beraneka warna vw. Bisa milih rute destinasi. Seru!;2
So much fun bangetttttt! Keliling desa borobudur dengan VW kap terbuka itu sensasinya waaaahhhhh... pemandangan sawah dan bukitnya menenangkan jiwa. Kapan hari kesini dapat rate 400rb/mobil. Jangan lupa yang liburan ke jogja mampir kesini ya.;2
Fast respon banget, pelayanan oke, musholla dan toilet ada, pembayaran pun  bisa cashless;2
Service nya ok, admin responsif, saat di basecamp disambut dengan hangat.;2
Seruuu.. drivernya jg ramah dan keren2 banget fotoinnya.. totalitas.. will be back soon ??;2
Servis yg oke...segala Pelayanan yg memuaskan..matur nuwun;2
Makasih kak pungki primadola (primadonanya kaum lansia), vwnya cantik kek sodara omnya dari temennya temenku ??;2
"Penyewaan VW tour area Borobudur sekitarnya
Harga paket terjangkau dengan benefit yang cukup memuaskan untuk berkeliling sekitaran Borobudur";1
Basecamp VW di Borobudur yang menyediakan kendaraan VW untuk tour di sekitar Candi Borobudur;1
Pemilihan obyek yang digunakan menggunakan vw variatif,;1
Pasti akan lebih menyenangkan jika tidak hujan ?? tapi tetap seru naik VW dengan keramahan yang luar biasa.;1
Menyenangkan, pilihan wisata keluarga yang bisa dikompromikan antara old people and children. Pastikan mau mengunjungi wisata apa saja dan manajemen waktu supaya bisa dapat semua yg diinginkan??;2
Pengalaman yang sangat menyenangkan meskipun sempat hujan tapi masih bisa mampir ke gereja ayam & tempat produksi jamur, pelayanannya pun juga ramah sekali, sangat puas????????;2
Terima kasih kepada manajemen VW Tour Borobudur. Hari Rabu, 21 Sept.'22 adalah pengalaman kedua kami. Yang pertama di pertengahan Juni '22 hanya menggunakan 2 unit mobil VW. Karena pengalaman pertama yang sangat mengesankan, saya mengajak teman² sebaya untuk merasakan hal yang sama. Di pengalaman kedua ini, kami menggunakan 9 unit mobil VW, semua penumpangnya lansia, > 70 tahun. Semua merasa puas dan mengatakan pengalaman yang tak terlupakan, menaiki mobil VW Safari, mengelilingi beberapa tujuan desa wisata sekeliling candi Borobudur. Bapak² mitra pengemudi sopan sambil menceriterakan kisah² heroik di tujuan desa wisata. Pelayanannya prima. Ada barang penumpang yang ketinggalan di salah satu VW, barang ditemukan dan dikirimkan ke pemiliknya di Jawa Timur tanpa biaya.;2
Servis ok... Lain dari yg lain... TOP;2
Destinasi Wajib ketika maen ke Magelang. Terima Kasih VW Tour Borobudur.;1
Pengalaman yg berkesan pas sewa VW keliling sekitaran Borobudur dsk.. pemandangan yg ga di dapat dikota sendiri ?? servicenya Good.. next semoga bisa balik lagi sewa vw tour borobudur ????;2
"Good service!
sabar ngelayanin dan menuruti keinginan tamu..";2
Asik banget ikutan tour vw, driver ramah dan gercep untuk pelayanan nya juga ok banget, kita dibawa keliling sekitaran Borobudur dan  dibantu buat berfoto juga jadi ada foto keluarga yg tjakep mantab ???? Terimakasih VW TOUR BOROBUDUR;2
"Jangan lupa bahagia""VWTB""";1
Layanan hebat. Sangat direkomendasikan!;2
pengalaman yang seru naik mobil vw nya pak camat  keliling pedesaan melewati persawahan dan perbukitan menoreh ...pokoknya asik dech;2
Klasik asik bahagia bersama VW.;2
Kenangan yang tidak akan terlupakan... sangat cocok berlibur dengan keluarga besar orang tua, kaka adik, anak2... keliling pedesaan dengan VW tour ini. Kami sangat senang sekali. Terimakasiiiihhh;2
Pengalaman yang sangat menyenangkan berkeliling ikut paket VW Tour...drivernya juga ramah dan helpful. Terima kasih banyak ????;2
VW Tour, mantaaapp!!!!;2
Pengalaman pertama yang sangat menyenangkan bisa keliling desa di sekitaran borobudur dgn menaiki mobil VW yg sedang hits dan bapa pemandu yg sangat ramah,selain bisa menikmati pemandangan desa yg masih asri ada edukasi nya juga lho..wajib di coba dech;2
Woww… keren keliling obyek wisata dengan naik VW… driver nya ramah dan infoematif… pengalaman yg unik buat kami sekeluarga;2
Penjemputan di hotel yg ontime, pelayanan yg ramah, driver pun siap bantu utk sesi foto??;2
Pengalaman yg menyenangkan naik VW keliling Borobudur. Ternyata Borobudur bukan hanya Candi yg indah tapi sekitar borobudur juga punya pemandangan yg keren2. Pelayanan yg memuaskan, supirnya ramah2 dan banyak ngasih kita spot foto yg keren2.;2
Pelayanan ramah dan recomended;2
Keren..;2
Top... Pelayanan tetap konsisten, ramah dengan tamu2;2
Respon order sangat cepat dan jelas, pelayanan dr mulai mobil dan driver sangat memuaskan, sangat bersahabat ramah dan menyenangkan. Makasih udah motoin kita juga bagus2 hasilnya.;2
Tour VW borobudur merupakan pengalaman yg seru buat kami sekeluarga..;2
"crewNya kompak..
seru pokoknya";2
"Healing naik VB Tour Borobudur asyik banget....
Refreshing sejenak hilangkan kejenuhan dari rutinitas pekerjaan .... Harus itu ??
Keliling Borobudur naik VW itu solusinya ...
Yuk Gazzz ????????";2
Menyenangkan mengisi liburan dengan VW tour diborobudur magelang, thank you;2
Driver ramah, pemandangan jangan ditanya... pokoknya puas deh. Kapan2 kesinj lagi;2
Keren pelayanan ramah mas nya jago foto juga,,mantap;2
seruu susur desa sama vw tour borobudur??;2
Perjalanan yg sangat menyenangkan, puas bgt dengan pelayanan nya dan hasil foto2 yg luar biasa. Terima kasih;2
pelayanan ramah;2
Mantap pengalamannya???? proses pesan mudah dan pelayanan baik. Rekomended??;2
Keren banget VW Tour Borobudur. Pelayanan selalu yang utama. Kepuasan visitors diutamakan????????;2
Harga standar,ramah,asik buat ngobrol dan pelayanan oke;2
Terima kasih vw tour Borobudur, kalian luar biasa!!!!;2
Sip;2
Perjalanan menyenangkan menambah wawasan destinasi sekitar Borobudur.  Trimakasih mas Restu dkk;2
Mantull bangett rekomended pokoknya;2
Menyenangkan;2
Recomeded bngt pokoknya,jngn sampai ketinggalan jalan2 kliling borobudur pakek VW tour, mantap ??;2
Mantaappp pengalaman luar biasa yg disuguhkan oleh vw tour borobudur, crewnya juga ramah2, sukses terus vw tour borobudur;2
seru banget bisa keliling naik mobil vw.. pemandunya juga ramah :);2
Niceeee??;2
"recomended   banget kalo lg jalan"" di area borobudur pake vw , asik  menyenangkan pengemudinya ramah"" ... joss pokoke";2
Seruuuu deh;2
Keliling borobudur pake vw tour,karna Liburan itu bukan untuk bermalas-malasan, tapi untuk bersenang-senang menikmati petualang baru yang seru..;1
Wisata berasama vw tour adalah pengalaman yang seru....menjangkau wisata2 yang ada di seputaran borobudur sambil menikmati pemandangan asri pedesaan;2
Mantap banget anjim??kaga rugi dah pokoknya jauh jauh ke Borobudur terus keliling kawasan wisata Borobudur terus keliling nya naik mobil VW bikin suasana makin mantap. Ni recomend base camp VW TOUR BOROBUDUR buat tujuan happy happy nya.;2
Keliling wisata Borobudur lebih nyaman dan yahud. Mantab rekomended. Pengalaman yg tak akan terlupakan;2
"Naik mobil  klasik berkeliling di borobudur emang seru dan tidak akan mengecewakan,apalgi drivernya ramah dan di carikan sepot foto yang kekinian ,terimaksih VW TOUR BOROBUDUR
Sukses & makin jaya vw tour borobudur ??????";2
Drivernya ramah,pelayanannya jg mantap ??;2
Recomended yang mau traveling daerah magelang khususnya Candi Brobudur????;2
Kalo ke Borobudur janlup cobain naik VW nyaa;1
Asikk banget naik vw..?? ke Magelang wajib nih keliling pake vw.. bikinn good mood??;2
Pas pandemi seru naik vw ini anak2 suka banget,sopirnya juga pake masker tp sayangnya pas ujan atapnya pd bocor heheheehee untungnya cmn basah sedikit;2
"Kenangan yang menyenangkan, perjalanan yang sangat indah... udara yang segar membuat saya bernostalgia saat tumbuh besar di desa seperti ini di tahun 90an.. ini adalah pelarian yang menyenangkan dari kesibukan di kota, melewati desa di sekitar borobudur dengan mobil vw safari bak terbuka.. Sungguh waktu yang menyenangkan.
#Tagar “Bahagia itu sederhana”, atau cara orang Indonesia mengatakan menemukan kebahagiaan dalam hal-hal kecil... kerajinan batik sangat direkomendasikan... Akan melakukan hal lain lain kali jika saya mengunjungi jogja & magelang lagi... Benar-benar tempat yang luar biasa..

Translated with DeepL.com (free version)";2
Kids friendly banget buat habisin waktu liburan di sekitaran borobudur;2
Sangat puas dan ramah sekali pemandu dan drivernya;2
"Asyik sekali naik vw safari diborobudur,, bisa keliling desa wisata dan bisa berkunjung di UMKM yang ada disekitaran Borobudur,,, terimakasih "" VW CABRIO BOROBUDUR "" pelayanan memuaskan jaminan deh pokonya";2
Menyenangkan! Kami dibawa berkeliling ke daerah yg Pemandangannya masih asri;2
Siiiip bisa jelajah desa wisata borobudur kususnya wanurejo;2
"Pintar ambil foto Dan enak diajak ngobrol makasih mas riko
Kalau ke sini mending rame";2
Nyantai asik tour magelang;2
Keren abisszzz dan asik.;2
Bnyk recomandasi tmn utk pake jasa sewa VW safari tour borobudur, ternyata benar respon admin cpt, driver (oke bngt utk hasil fotonya) & servicenya sangat memuaskn.. Recomamded bngt pokonya guys... Tks & Sukses sllu tuk VW Carbio Tour Borobudur ??????????;2
temukan pengalaman baru dengan keluarga dan teman teman bersama Cabrio...;1
Deket rumah sih.. karena itu belum pernah nyoba sendiri.. tapi selalu rame..  Apalagi pas musim liburan.. luar biasa;1
Kereeennn...;2
"Salah satu hal paling menyenangkan yang pernah saya lakukan di Jogja!
Pengemudi kami sangat baik dan ramah, mobilnya bersih dan nyaman dan bahkan dilengkapi dengan alat peraga untuk foto. Meskipun saya datang terlambat (jam 5-6 sore), tur masih sangat menyenangkan (dan bahkan lebih seru) dengan suasana yang gelap.
Benar-benar berkesan.";2
Drivernya ramah banget, di bantu dokumentasi juga dan hasilnya bagus bagus kereeen;2
Bagus;2
"Kemaren pas liburan ke magelang pake jasa sewa vw disini.. dengan driver pak hari yg informatif dan humble
Terus adminnya juga fast respons, pokoknya memuaskan dan recommended??????
Terimakasihh admin, terimakasih driver????????";2
Pengalaman mengesankan konvoi dg vw safari. Melintasi kota Magelang dan destinasi2 yg menawarkan keindahan alamnya.;2
Wokeh juga wisata nya pake VW;1
"Bikin ketagihan pokoknya ,seruuuuuuu????
pelayanan yg ramah , tamah , santun dr Driver""nya sangat friendly.
Mas Wiwit driver yg recomended, selain ganteng beliau juga jago ngambil foto2 yg instagramable. kalau naik vw diborobudur jangan lupa pakai VW Cabrio Borobudur dan Drivernya Mas Wiwit.";2
"Pelayanan driver sangat memuaskan,kemarin saya bersama driver Norman.
Liburan bulan depan q bakal balik lagi naik vw Cabrio dan drivernya tetep pake mz Norman.
Saya merekomendasikan mz Norman buat driver kalian saat naik vw Cabrio di Borobudur";2
Pelayanan nya ramah memuaskan mobil warna warni;2
Tempat sewa VW safari di Borobudur terfavorite, mobil bersih dan sopirnya ramah, dibantu foto² hasilnya keren². Lain kesempatan bakal kesini lagi ajak keluarga.;2
Pelayanan yg ramah.. Driver yg handal rapi& sopan satun.. Tertib dlm berkendara di jalan.. Driver juga memfotokan tamu2nya dgn bagus.. Pkoe.. Jgn salah pilih... ????;2
Recomend banget si yang mau healing di borobudur??;2
Aman ,Nyaman , Kenangan;2
"Piknik yang sangat mengasyikkan bersama VW Cabrio Borobudur, seruuu banget!!! Satu2nya komunitas vw safari di Borobudur yang sudah menggunakan/memberikan asuransi untuk para penumpangnya, jadi lebih tenang deh liburan kita.
Mobil vw safarinya keren2, warna-warni banyak pilihan, nyaman dan bersih. Driver dan pemandunya juga sangat ramah.
Terima kasih buat mas Hari, hasil foto2 dan videonya keren banget, saya suka!!! Saya merekomendasikan driver Mas Hari karena, selain ramah dia juga asyik dalam bercerita :) hehe..";2
Alhamdulillah tidak pake antre karena hari kerja jadi bisa langsung dapat unit sesuai dengan pilihan warna yg kita inginkan. Mas Udin sangat membantu dan mudah bergaul dengan anak saya selama Tour ??. Terima kasih, keep up the good work ??. Salam Dari Malaysia ????;2
Pemandu wisata yang baik.;2
Driver VW sangat komunikatif. Suka menjelaskan dan membantu ambil spot² foto yg bagus. Sekalian pengarah gaya berfoto juga. Di VW disediakan topi² petani u properti saat foto. Mantap ??;2
Lokasi kantor strategis..driver ramah;2
Sangat menyenangkan,,,,Recomended;2
"Driver ramah,sewa tdk mahal
Ingin kembali lagi";2
Amazing adventure.. ???;2
Istimewa;2
Mantab mas basir;2
Kereeeeeeeeeeeennnn papabro dan team ??????;2
Harus banget kalau ke Borobudur trip pakai VW. Ternyata Borobudur itu ga cuma candi, tapi banyak banget yang bisa dilihat dan nikmati. Drivernya seru2 juga, waktu itu saya sama Om Basir. Makasih yaaaaah??;1
Keren pelayanannya..recoment pilihan destinasi dan makan siangnya.terimakasih kak basir.see next trip.borobudur yess !;2
Jos lancar maju terus;2
"Pelayanan nya bagus...
Crew nya ramah ramah";2
"Nyaman & aman buat menghantar keliling desa sekitaran Borobudur??
Keluarga maupun Rombongan..";2
Yang asik memang klasik;2
Luangkan waktu liburanmu bersama ...CABRIO;1
Mantap...suka banget..??????;2
Keren sekali. Sangat berkesan. Terimakasih;2
Mantab sekali;2
Terima kasih atas layanan Anda;1
Servis bagus driver ramah thx;2
Sesuatu yg indah,kerennn,,rekomend..????;2
Woooww... Pengalaman baru bisa liburan bareng VW gak nyesel, nyenengin pastinya. Sukses terus vw borobudur ????;2
Asyik banget naik vw by Cabrio...tour keliling desa2 di Borobudur....Ayok naik vw yuk;2
"Di saat pandemic dengan pelayananya standar prokes,,
Pelayanan yang ramah tamah,sopan pokoknya menyenangkan";2
Pokoknya vw cabrio asyik banget;2
Vw cabrio selalu dihati;2
Sangat menyenangkan.. Very recomended!!;2
wisata vw borobudur nice shoot;2
siap menemani anda di spot 2 photo terindah di sekitar borobudur;1
Anda berkunjung kekawasan Borobudur tdk naik VW safari Bumi Arunika di jamin nyesel deh;1
Salah satu kantor resmi untuk pemberangkatan vw di Borobudur yang murah dan unitnya banyak;1
Mantap servis & pelayanan nya memuaskn, unit sm driver rapi;2
Vw borobudur seru;2
Salah satu trend wisata di Borobudur yang disukai untuk pehobi fotografi & wisata desa. VW Borobudur paling the best;2
Mantap;2
Vw Borobudur yang banyak unit nya, drivernya berpengalaman semua. Rute nya banyak, paketnya banyak pilihan;2
Bagus drivernya ramah, kunjungannya asik juga, view menoreh keliling borobudur????????????;2
Salah satu favorit yg berwisata ke candiborobudur;2
Bagus.;2
Pelayanan ramah dan mengesankan;2
Menyenangkan skali;2
Mr pendos oyeee....driver e nyopire enak;2
mantap dengan keindahan alam sekitar borobudur;2
mantep ah pokokna mahh;2
pelayanannya bagus;2
Pilotnya Ganteng dan Jomblo dari sononya ??;2
Menyenangkan skali,, pelayanan juga totalitas,;2
baguss;2
beuh mantep kali inii, pelayanan nya totalitasss;2
mantapp pak sopir;2
joss pakk;2
seneng banget pokoknya;2
Asyikkkk ??;2
Pengalaman yang sangat menyenangkan;2
Sumpah Menyenangkan mobilnya warna warni kayak permen sugus robongan saya suka banget;2
Drivernya ramah ngasih penjelasannya semoga tahun depan kesini lagi;2
Seru banget anak anak suka makasi @vwborobudur_magelang;2
Sangat mengidukasi buat anak2 vwnya juga bagus bagus..;2
Seru menyenangkan keluarga senang banget;2
Cocok buat yg pgn refreshing liat pemandangan alam..apalagi sambil naik VW. Recommended lah pokoknya ????;2
So fun, besok kesini sama suami hihi;2
Seru banget. Enak banget untuk keluarga ataupun untuk teman kerja;2
Mantap , seru bgt ??;2
Mantul;2
Ini sanggat recommended sekali buat teman wisata di Borobudur ????;2
Pelayanan memuaskan cocok untuk refreshing;2
tempat wisat baru di Jogja! super recommended karena keliling Desa Borobudur naik VW??;2
Cocok banget nih buat healing healing;1
Keliling desa wisata dengan mobil dinas camat di era th 70an, sungguh suatu pengalaman yg sangat luar biasa, kearifan lokalnya, pemandangan di kaki bukit menoreh, sungguh sangat mengasikkan.;2
Mantap;2
jossss;2
Tempat wisata yang selalu ramai;2
Explore VW safari Borobudur. Yang mau tour village desa2 wisata di sekitar candi Borobudur, inilah kantornya. Aman dan nyaman. Ramah tamah. Servis nya di jamin memuaskan.;2
Paket wisata alam yg sangat komplit dn syahdu di magelang kota-kabupaten,,, pemandangannya sangat indah dn udaranya masih segar.;2
Tour istimewa,   ??????;2
Mau pilih warna sesuai dengan yang disuka bisa, driver ramah, yang terpenting servis mereka sangat memuliakan pelanggan. Aku kasih bintang seribu untuk VW Tour nya svarga. Joss. Kapan kapan balik lagi bawa rombongan se kota Padang;2
Pengalaman yang luar biasa, magelang & segala keindahannya;2
